user_id,status,city,job_title,organization_id,contracts,description,skills
10,published,LOUISVILLE,Conservation Technician,10,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'design': 8}}"
11,published,OAK LAWN,Manager of Engineering,11,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'engineering': 1, 'git': 1, 'design': 1}}"
12,published,WEEHAWKEN,Forecast Systems Manager,12,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'go': 1}}"
13,published,NOVATO,Water Services Technician,13,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'go': 1, 'design': 8}}"
14,published,MANATI,Senior Analyst Retail Analytics and Reporting,14,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'presentation': 6, 'communication': 1, 'design': 4, 'networks': 1, 'innovation': 1}}"
15,published,MANAHAWKIN,Total Quality Management Director,15,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'processing': 1, 'http': 6}}"
16,published,GRANT,HVAC Mechanic,16,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'reporting': 3, 'ensemble': 3}}"
17,published,ARECIBO,Cognos Business Development Architect,17,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'mobile': 1, 'reporting': 1}}"
18,published,WEST CALDWELL,School Social Worker,18,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'windows': 1, 'collaboration': 1, 'e-commerce': 1, 'html': 1, 'visio': 1, 'php': 1, 'powershell': 1}}"
19,published,MC KEE,Treasurer,19,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'training': 1, 'implementation': 3, 'e-commerce': 1, 'coaching': 1, 'leadership': 1, 'go': 1, 'technical': 1, 'project management': 1}}"
20,published,HAVERHILL,Manufacturing Customer Service Representative,20,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'foundation': 1, 'consulting': 2, 'implementation': 8, 'reporting': 2, 'training': 7, 'design': 1, 'go': 1, 'presentation': 1}}"
21,published,RINCON,Quality Assurance Manager,21,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'hardware': 3, 'mobile': 1, 'coaching': 1, 'reporting': 1, 'design': 1}}"
22,published,ALEXANDRIA,Night Auditor,22,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'go': 1, 'communication': 2, 'ensemble': 2}}"
23,published,HOMERVILLE,Medical Receptionist,23,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'training': 1, 'certifications': 1, 'http': 1, 'processing': 1, 'implementation': 1, 'documentation': 2, 'programming': 1, 'prototyping': 1, 'tech support': 1, 'penetration testing': 1, 'data processing': 1, 'technical': 8, 'networks': 1}}"
24,published,BORDENTOWN,Business Intelligence Developer,24,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'reporting tools': 1, 'training': 1, 'collaboration': 1, 'reporting': 3, 'hardware': 1, 'leadership': 4, 'design': 1, 'internet': 1, 'project management': 2}}"
25,published,DANVILLE,Solid Waste Field Technician,25,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'training': 6, 'http': 1, 'critical thinking': 2, 'communication': 2, 'collaboration': 2, 'analytics': 3, 'coaching': 1, 'leadership': 6, 'design': 3, 'project management': 1, 'implementation': 3, 'mentoring': 1, 'spark': 2, 'presentation': 1, 'data analytics': 2}}"
26,published,BRIGANTINE,Healthcare Consultant,26,AL,'Lorem ipsum dolor sit amet consectetur adipiscing elit. Nam sed pharetra felis. Sed fermentum mauris imperdiet ante laoreet iaculis. Maecenas maximus mi vel ligula finibus eget ullamcorper sapien fringilla. Vivamus gravida laoreet diam non faucibus nisi semper aliquet. Aliquam pretium mi eu efficitur ultrices. Proin id dui vel odio pretium vehicula quis sit amet metus. Ut felis arcu fermentum sagittis lacus sit amet placerat euismod quam. Donec tristique ipsum eu tortor finibus laoreet. Fusce et ligula pretium dictum velit eu dictum augue. Maecenas varius sapien ut ipsum luctus non fringilla mauris auctor. Aenean a magna turpis. Donec mollis a felis eu congue. Ut elementum tortor in orci aliquam tincidunt. Nullam ut nibh vel dui interdum ultricies. Nunc id nibh vel leo sodales auctor sed vitae nunc. Fusce justo nisi egestas vitae semper non tincidunt nec augue.',"{'skills': {'windows': 1, 'collaboration': 1, 'e-commerce': 1, 'html': 1, 'visio': 1, 'php': 1, 'powershell': 1}}"
